GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0012100003,1610612753,ORL,Orlando,203082,Terrence Ross,Terrence,F,,23.000000:31,2.0,9.0,0.222,0.0,2.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,2.0,1.0,0.0,3.0,5.0,-8.0
0012100003,1610612753,ORL,Orlando,1630532,Franz Wagner,Franz,F,,19.000000:41,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0
0012100003,1610612753,ORL,Orlando,1628976,Wendell Carter Jr.,Wendell,C,,21.000000:16,3.0,4.0,0.75,1.0,2.0,0.5,3.0,4.0,0.75,2.0,6.0,8.0,3.0,0.0,0.0,3.0,3.0,10.0,-6.0
0012100003,1610612753,ORL,Orlando,203914,Gary Harris,Gary,G,,20.000000:31,4.0,9.0,0.444,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,-3.0
0012100003,1610612753,ORL,Orlando,1630591,Jalen Suggs,Jalen,G,,21.000000:04,3.0,11.0,0.273,2.0,5.0,0.4,1.0,2.0,0.5,0.0,4.0,4.0,3.0,0.0,2.0,2.0,4.0,9.0,-5.0
0012100003,1610612753,ORL,Orlando,1630181,R.J. Hampton,R.J.,,,22.000000:18,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,3.0,1.0,0.0,0.0,1.0,7.0,8.0
0012100003,1610612753,ORL,Orlando,1629021,Moritz Wagner,Moritz,,,22.000000:25,5.0,9.0,0.556,4.0,7.0,0.571,2.0,4.0,0.5,0.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,16.0,0.0
0012100003,1610612753,ORL,Orlando,1630175,Cole Anthony,Cole,,,21.000000:45,6.0,12.0,0.5,4.0,7.0,0.571,0.0,0.0,0.0,1.0,5.0,6.0,6.0,0.0,0.0,3.0,1.0,16.0,10.0
0012100003,1610612753,ORL,Orlando,1628964,Mo Bamba,Mo,,,21.000000:33,6.0,10.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,3.0,7.0,10.0,1.0,0.0,4.0,1.0,2.0,13.0,11.0
0012100003,1610612753,ORL,Orlando,202734,E'Twaun Moore,E'Twaun,,,19.000000:18,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,2.0,0.0,1.0,1.0,0.0,13.0
0012100003,1610612753,ORL,Orlando,1629649,Ignas Brazdeikis,Ignas,,,5.000000:54,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-6.0
0012100003,1610612753,ORL,Orlando,1629755,Hassani Gravett,Hassani,,,5.000000:11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-6.0
0012100003,1610612753,ORL,Orlando,1629678,Admiral Schofield,Admiral,,,5.000000:11,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-6.0
0012100003,1610612753,ORL,Orlando,1630257,Jon Teske,Jon,,,5.000000:11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,-6.0
0012100003,1610612753,ORL,Orlando,1630288,Jeff Dowtin Jr.,Jeff,,,5.000000:11,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0
0012100003,1610612753,ORL,Orlando,203487,Michael Carter-Williams,Michael,,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0012100003,1610612753,ORL,Orlando,1628365,Markelle Fultz,Markelle,,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0012100003,1610612753,ORL,Orlando,1628371,Jonathan Isaac,Jonathan,,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0012100003,1610612753,ORL,Orlando,201577,Robin Lopez,Robin,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0012100003,1610612753,ORL,Orlando,1629643,Chuma Okeke,Chuma,,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0012100003,1610612738,BOS,Boston,1628369,Jayson Tatum,Jayson,F,,25.000000:16,6.0,16.0,0.375,1.0,4.0,0.25,5.0,5.0,1.0,1.0,8.0,9.0,2.0,3.0,0.0,2.0,2.0,18.0,-14.0
0012100003,1610612738,BOS,Boston,1627823,Juancho Hernangomez,Juancho,F,,17.000000:07,1.0,2.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,6.0,6.0
0012100003,1610612738,BOS,Boston,1629057,Robert Williams III,Robert,C,,19.000000:35,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,2.0,0.0,2.0,0.0,1.0,1.0,-5.0
