,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,metadata_source
20,Reggie Bullock,21.000000:27,5.0,7.0,0.714,2.0,3.0,0.667,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,12.0,13.0,2021-11-08 DAL vs. NOP
21,Jalen Brunson,30.000000:43,7.0,12.0,0.583,0.0,2.0,0.0,3.0,3.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,2.0,1.0,17.0,26.0,2021-11-08 DAL vs. NOP
22,Willie Cauley-Stein,4.000000:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,2021-11-08 DAL vs. NOP
23,Frank Ntilikina,17.000000:42,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,9.0,24.0,2021-11-08 DAL vs. NOP
24,Sterling Brown,11.000000:13,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2021-11-08 DAL vs. NOP
25,Boban Marjanovic,8.000000:03,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,2021-11-08 DAL vs. NOP
26,Moses Brown,0.000000:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 DAL vs. NOP
27,Josh Green,0.000000:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08 DAL vs. NOP
0,Dorian Finney-Smith,28.000000:59,1.0,5.0,0.2,1.0,5.0,0.2,2.0,2.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,1.0,0.0,5.0,-15.0,2021-11-10 DAL @ CHI
1,Kristaps Porzingis,31.000000:57,9.0,16.0,0.563,2.0,3.0,0.667,2.0,2.0,1.0,3.0,9.0,12.0,1.0,0.0,0.0,1.0,4.0,22.0,-7.0,2021-11-10 DAL @ CHI
2,Dwight Powell,22.000000:05,5.0,6.0,0.833,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,2.0,12.0,-8.0,2021-11-10 DAL @ CHI
3,Tim Hardaway Jr.,33.000000:11,7.0,15.0,0.467,5.0,9.0,0.556,2.0,3.0,0.667,0.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,21.0,-11.0,2021-11-10 DAL @ CHI
4,Luka Doncic,33.000000:25,6.0,18.0,0.333,1.0,6.0,0.167,7.0,10.0,0.7,1.0,7.0,8.0,10.0,4.0,1.0,4.0,0.0,20.0,-20.0,2021-11-10 DAL @ CHI
5,Reggie Bullock,22.000000:53,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,-6.0,2021-11-10 DAL @ CHI
6,Jalen Brunson,29.000000:29,4.0,8.0,0.5,0.0,1.0,0.0,4.0,5.0,0.8,0.0,4.0,4.0,7.0,1.0,0.0,1.0,1.0,12.0,-5.0,2021-11-10 DAL @ CHI
7,Willie Cauley-Stein,5.000000:13,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2021-11-10 DAL @ CHI
8,Frank Ntilikina,9.000000:19,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,4.0,8.0,2021-11-10 DAL @ CHI
9,Sterling Brown,16.000000:31,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,5.0,5.0,2021-11-10 DAL @ CHI
10,Boban Marjanovic,1.000000:28,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,2021-11-10 DAL @ CHI
11,Moses Brown,1.000000:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2021-11-10 DAL @ CHI
12,Trey Burke,1.000000:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2021-11-10 DAL @ CHI
13,Josh Green,1.000000:50,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2021-11-10 DAL @ CHI
0,Dorian Finney-Smith,34.000000:20,6.0,10.0,0.6,3.0,5.0,0.6,0.0,0.0,0.0,2.0,5.0,7.0,3.0,3.0,0.0,0.0,1.0,15.0,11.0,2021-11-12 DAL @ SAS
1,Kristaps Porzingis,34.000000:22,12.0,22.0,0.545,3.0,9.0,0.333,5.0,6.0,0.833,2.0,5.0,7.0,0.0,0.0,3.0,1.0,2.0,32.0,-5.0,2021-11-12 DAL @ SAS
2,Dwight Powell,15.000000:33,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,0.0,2.0,0.0,3.0,6.0,4.0,2021-11-12 DAL @ SAS
3,Tim Hardaway Jr.,31.000000:05,2.0,11.0,0.182,0.0,5.0,0.0,1.0,2.0,0.5,0.0,6.0,6.0,2.0,0.0,0.0,0.0,1.0,5.0,-13.0,2021-11-12 DAL @ SAS
4,Luka Doncic,36.000000:26,11.0,23.0,0.478,6.0,13.0,0.462,4.0,8.0,0.5,0.0,12.0,12.0,15.0,2.0,0.0,2.0,2.0,32.0,6.0,2021-11-12 DAL @ SAS
5,Reggie Bullock,20.000000:56,3.0,9.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,2.0,7.0,23.0,2021-11-12 DAL @ SAS
6,Jalen Brunson,27.000000:22,6.0,13.0,0.462,2.0,5.0,0.4,3.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,17.0,20.0,2021-11-12 DAL @ SAS
7,Willie Cauley-Stein,9.000000:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,16.0,2021-11-12 DAL @ SAS
8,Frank Ntilikina,16.000000:36,2.0,5.0,0.4,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,6.0,5.0,2021-11-12 DAL @ SAS
9,Sterling Brown,13.000000:40,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,2.0,3.0,5.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,2021-11-12 DAL @ SAS
13,Dorian Finney-Smith,23.000000:44,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,3.0,8.0,4.0,2021-11-15 DAL vs. DEN
14,Kristaps Porzingis,33.000000:09,11.0,20.0,0.55,5.0,8.0,0.625,2.0,2.0,1.0,5.0,6.0,11.0,3.0,2.0,1.0,2.0,2.0,29.0,-3.0,2021-11-15 DAL vs. DEN
15,Dwight Powell,17.000000:44,2.0,6.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,4.0,3.0,7.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,2021-11-15 DAL vs. DEN
16,Tim Hardaway Jr.,33.000000:09,8.0,14.0,0.571,2.0,6.0,0.333,1.0,1.0,1.0,0.0,7.0,7.0,4.0,0.0,0.0,0.0,2.0,19.0,14.0,2021-11-15 DAL vs. DEN
17,Luka Doncic,37.000000:33,9.0,23.0,0.391,2.0,7.0,0.286,3.0,5.0,0.6,1.0,7.0,8.0,11.0,2.0,1.0,4.0,3.0,23.0,4.0,2021-11-15 DAL vs. DEN
18,Jalen Brunson,35.000000:41,8.0,12.0,0.667,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,1.0,2.0,17.0,10.0,2021-11-15 DAL vs. DEN
19,Reggie Bullock,29.000000:44,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,5.0,15.0,2021-11-15 DAL vs. DEN
20,Willie Cauley-Stein,3.000000:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,2021-11-15 DAL vs. DEN
21,Sterling Brown,7.000000:35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0,2021-11-15 DAL vs. DEN
22,Frank Ntilikina,16.000000:01,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,9.0,2021-11-15 DAL vs. DEN
23,Boban Marjanovic,2.000000:34,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2021-11-15 DAL vs. DEN
0,Dorian Finney-Smith,31.000000:40,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,0.0,1.0,0.0,9.0,-6.0,2021-11-17 DAL @ PHX
1,Kristaps Porzingis,31.000000:39,7.0,20.0,0.35,2.0,7.0,0.286,5.0,5.0,1.0,2.0,6.0,8.0,7.0,1.0,2.0,1.0,2.0,21.0,9.0,2021-11-17 DAL @ PHX
2,Dwight Powell,21.000000:47,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,12.0,3.0,1.0,0.0,0.0,1.0,3.0,-2.0,2021-11-17 DAL @ PHX
3,Tim Hardaway Jr.,36.000000:50,9.0,23.0,0.391,3.0,8.0,0.375,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,1.0,4.0,22.0,-11.0,2021-11-17 DAL @ PHX
4,Jalen Brunson,36.000000:46,8.0,18.0,0.444,2.0,4.0,0.5,0.0,0.0,0.0,1.0,8.0,9.0,9.0,0.0,0.0,3.0,1.0,18.0,0.0,2021-11-17 DAL @ PHX
5,Reggie Bullock,25.000000:56,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,3.0,2.0,-11.0,2021-11-17 DAL @ PHX
6,Willie Cauley-Stein,8.000000:33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-8.0,2021-11-17 DAL @ PHX
7,Frank Ntilikina,18.000000:12,5.0,8.0,0.625,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,13.0,-4.0,2021-11-17 DAL @ PHX
8,Sterling Brown,13.000000:54,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,2021-11-17 DAL @ PHX
9,Trey Burke,14.000000:43,4.0,7.0,0.571,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,10.0,1.0,2021-11-17 DAL @ PHX
0,Dorian Finney-Smith,33.000000:03,4.0,8.0,0.5,3.0,6.0,0.5,1.0,3.0,0.333,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,12.0,-10.0,2021-11-19 DAL @ PHX
1,Kristaps Porzingis,29.000000:60,8.0,13.0,0.615,3.0,6.0,0.5,4.0,4.0,1.0,4.0,8.0,12.0,2.0,2.0,1.0,2.0,2.0,23.0,-7.0,2021-11-19 DAL @ PHX
2,Dwight Powell,19.000000:47,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,-9.0,2021-11-19 DAL @ PHX
3,Tim Hardaway Jr.,35.000000:05,7.0,21.0,0.333,2.0,10.0,0.2,2.0,2.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,18.0,-15.0,2021-11-19 DAL @ PHX
4,Jalen Brunson,34.000000:35,7.0,19.0,0.368,1.0,4.0,0.25,3.0,4.0,0.75,0.0,4.0,4.0,10.0,1.0,0.0,2.0,2.0,18.0,-12.0,2021-11-19 DAL @ PHX
5,Reggie Bullock,27.000000:36,3.0,8.0,0.375,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,6.0,-8.0,2021-11-19 DAL @ PHX
6,Frank Ntilikina,17.000000:35,0.0,7.0,0.0,0.0,4.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,5.0,3.0,0.0,2.0,3.0,4.0,2.0,2021-11-19 DAL @ PHX
7,Willie Cauley-Stein,9.000000:20,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,8.0,11.0,2021-11-19 DAL @ PHX
8,Sterling Brown,16.000000:11,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,0.0,1.0,1.0,5.0,1.0,2021-11-19 DAL @ PHX
9,Trey Burke,14.000000:48,3.0,8.0,0.375,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,8.0,0.0,2021-11-19 DAL @ PHX
10,Josh Green,2.000000:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,2021-11-19 DAL @ PHX
0,Dorian Finney-Smith,24.000000:17,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,7.0,-1.0,2021-11-21 DAL @ LAC
1,Kristaps Porzingis,31.000000:50,10.0,18.0,0.556,0.0,4.0,0.0,5.0,6.0,0.833,4.0,4.0,8.0,2.0,0.0,2.0,0.0,4.0,25.0,-2.0,2021-11-21 DAL @ LAC
2,Dwight Powell,18.000000:40,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,1.0,1.0,9.0,-11.0,2021-11-21 DAL @ LAC
3,Tim Hardaway Jr.,35.000000:56,2.0,12.0,0.167,1.0,4.0,0.25,3.0,3.0,1.0,1.0,5.0,6.0,5.0,0.0,0.0,1.0,4.0,8.0,-7.0,2021-11-21 DAL @ LAC
4,Jalen Brunson,34.000000:51,7.0,13.0,0.538,1.0,4.0,0.25,5.0,5.0,1.0,0.0,4.0,4.0,8.0,3.0,0.0,3.0,4.0,20.0,3.0,2021-11-21 DAL @ LAC
5,Trey Burke,13.000000:23,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,-7.0,2021-11-21 DAL @ LAC
6,Reggie Bullock,31.000000:38,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,2021-11-21 DAL @ LAC
7,Maxi Kleber,20.000000:04,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,-3.0,2021-11-21 DAL @ LAC
8,Willie Cauley-Stein,9.000000:32,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,4.0,-2.0,2021-11-21 DAL @ LAC
9,Frank Ntilikina,8.000000:45,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,2021-11-21 DAL @ LAC
10,Sterling Brown,7.000000:37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,-5.0,2021-11-21 DAL @ LAC
11,Boban Marjanovic,3.000000:27,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,2021-11-21 DAL @ LAC
0,Dorian Finney-Smith,48.000000:50,7.0,14.0,0.5,2.0,8.0,0.25,1.0,2.0,0.5,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,17.0,5.0,2021-11-23 DAL @ LAC
1,Kristaps Porzingis,40.000000:26,9.0,16.0,0.563,2.0,5.0,0.4,10.0,10.0,1.0,4.0,3.0,7.0,1.0,1.0,1.0,5.0,2.0,30.0,6.0,2021-11-23 DAL @ LAC
2,Willie Cauley-Stein,17.000000:03,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,2021-11-23 DAL @ LAC
3,Tim Hardaway Jr.,41.000000:00,5.0,17.0,0.294,2.0,10.0,0.2,1.0,2.0,0.5,0.0,5.0,5.0,2.0,1.0,0.0,0.0,5.0,13.0,6.0,2021-11-23 DAL @ LAC
4,Luka Doncic,41.000000:08,9.0,21.0,0.429,4.0,11.0,0.364,4.0,4.0,1.0,1.0,8.0,9.0,9.0,1.0,2.0,6.0,4.0,26.0,7.0,2021-11-23 DAL @ LAC
5,Dwight Powell,8.000000:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2021-11-23 DAL @ LAC
6,Jalen Brunson,11.000000:21,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,4.0,-2.0,2021-11-23 DAL @ LAC
7,Maxi Kleber,35.000000:49,2.0,6.0,0.333,1.0,3.0,0.333,3.0,4.0,0.75,1.0,8.0,9.0,6.0,2.0,1.0,0.0,4.0,8.0,10.0,2021-11-23 DAL @ LAC
8,Trey Burke,10.000000:02,1.0,3.0,0.333,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2021-11-23 DAL @ LAC
9,Sterling Brown,10.000000:25,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,2021-11-23 DAL @ LAC
10,Boban Marjanovic,0.000000:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,2021-11-23 DAL @ LAC
11,Dorian Finney-Smith,28.000000:33,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,8.0,-6.0,2021-11-27 DAL vs. WAS
12,Kristaps Porzingis,35.000000:36,4.0,12.0,0.333,0.0,3.0,0.0,5.0,6.0,0.833,0.0,7.0,7.0,3.0,3.0,1.0,0.0,2.0,13.0,-2.0,2021-11-27 DAL vs. WAS
13,Willie Cauley-Stein,10.000000:16,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,3.0,4.0,-7.0,2021-11-27 DAL vs. WAS
14,Tim Hardaway Jr.,35.000000:54,4.0,12.0,0.333,2.0,5.0,0.4,0.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,3.0,10.0,-7.0,2021-11-27 DAL vs. WAS
15,Luka Doncic,36.000000:47,13.0,25.0,0.52,3.0,9.0,0.333,4.0,7.0,0.571,0.0,4.0,4.0,10.0,0.0,0.0,4.0,3.0,33.0,-11.0,2021-11-27 DAL vs. WAS
16,Dwight Powell,10.000000:24,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,-12.0,2021-11-27 DAL vs. WAS
17,Reggie Bullock,27.000000:55,2.0,7.0,0.286,2.0,7.0,0.286,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,-3.0,2021-11-27 DAL vs. WAS
18,Maxi Kleber,29.000000:58,6.0,9.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,3.0,3.0,6.0,1.0,0.0,1.0,0.0,4.0,13.0,0.0,2021-11-27 DAL vs. WAS
19,Trey Burke,11.000000:14,5.0,7.0,0.714,2.0,4.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,14.0,5.0,2021-11-27 DAL vs. WAS
20,Sterling Brown,13.000000:24,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,8.0,13.0,2021-11-27 DAL vs. WAS
12,Dorian Finney-Smith,24.000000:58,6.0,10.0,0.6,2.0,6.0,0.333,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,14.0,1.0,2021-11-29 DAL vs. CLE
13,Kristaps Porzingis,26.000000:41,4.0,12.0,0.333,0.0,4.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,1.0,0.0,4.0,0.0,0.0,9.0,-10.0,2021-11-29 DAL vs. CLE
14,Moses Brown,10.000000:59,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,2.0,2.0,2021-11-29 DAL vs. CLE
15,Tim Hardaway Jr.,26.000000:52,3.0,10.0,0.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,2021-11-29 DAL vs. CLE
16,Luka Doncic,33.000000:10,9.0,21.0,0.429,7.0,11.0,0.636,0.0,4.0,0.0,2.0,8.0,10.0,10.0,1.0,0.0,4.0,2.0,25.0,-20.0,2021-11-29 DAL vs. CLE
17,Dwight Powell,8.000000:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-12.0,2021-11-29 DAL vs. CLE
18,Maxi Kleber,25.000000:21,4.0,10.0,0.4,2.0,7.0,0.286,3.0,4.0,0.75,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,13.0,-34.0,2021-11-29 DAL vs. CLE
19,Jalen Brunson,22.000000:22,2.0,7.0,0.286,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,-33.0,2021-11-29 DAL vs. CLE
20,Reggie Bullock,22.000000:50,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-8.0,2021-11-29 DAL vs. CLE
21,Sterling Brown,14.000000:45,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,4.0,-10.0,2021-11-29 DAL vs. CLE
22,Boban Marjanovic,7.000000:56,4.0,5.0,0.8,1.0,1.0,1.0,1.0,2.0,0.5,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,2021-11-29 DAL vs. CLE
23,Josh Green,7.000000:56,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,2021-11-29 DAL vs. CLE
24,Trey Burke,7.000000:56,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,11.0,2021-11-29 DAL vs. CLE
0,Dorian Finney-Smith,24.000000:25,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,6.0,23.0,2021-12-01 DAL @ NOP
1,Kristaps Porzingis,27.000000:47,9.0,15.0,0.6,1.0,6.0,0.167,1.0,1.0,1.0,1.0,9.0,10.0,2.0,0.0,2.0,1.0,2.0,20.0,17.0,2021-12-01 DAL @ NOP
2,Dwight Powell,11.000000:14,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,7.0,14.0,2021-12-01 DAL @ NOP
3,Reggie Bullock,18.000000:26,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,6.0,18.0,2021-12-01 DAL @ NOP
4,Luka Doncic,27.000000:27,11.0,16.0,0.688,2.0,5.0,0.4,4.0,4.0,1.0,1.0,3.0,4.0,14.0,1.0,0.0,8.0,1.0,28.0,29.0,2021-12-01 DAL @ NOP
5,Maxi Kleber,16.000000:26,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,16.0,2021-12-01 DAL @ NOP
6,Jalen Brunson,24.000000:11,7.0,9.0,0.778,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,17.0,12.0,2021-12-01 DAL @ NOP
7,Tim Hardaway Jr.,25.000000:13,6.0,9.0,0.667,4.0,7.0,0.571,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,16.0,9.0,2021-12-01 DAL @ NOP
8,Sterling Brown,19.000000:33,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,2.0,1.0,8.0,13.0,2021-12-01 DAL @ NOP
9,Trey Burke,16.000000:48,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,9.0,7.0,2021-12-01 DAL @ NOP
10,Boban Marjanovic,10.000000:14,4.0,5.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,6.0,2021-12-01 DAL @ NOP
11,Eugene Omoruyi,5.000000:23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2021-12-01 DAL @ NOP
12,Josh Green,5.000000:23,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,2021-12-01 DAL @ NOP
13,Moses Brown,3.000000:45,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,-4.0,2021-12-01 DAL @ NOP
