PLAYER_ID,MIN,FGM,FGA,FG3M,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
1628500,1544,5.0,9.0,0.0,2.0,2.0,1.0,2.0,5.0,7.0,1.0,1.0,2.0,1.0,4.0,14.0
1630601,1497,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0
1629783,2099,5.0,18.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,0.0,3.0,5.0,13.0
1629958,2283,6.0,15.0,1.0,1.0,1.0,1.0,3.0,5.0,8.0,8.0,1.0,0.0,5.0,4.0,15.0
1630808,2359,8.0,17.0,2.0,0.0,3.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,2.0,3.0,18.0
1629666,1320,2.0,10.0,1.0,0.0,1.0,0.0,2.0,9.0,11.0,0.0,0.0,0.0,1.0,0.0,5.0
1630273,560,1.0,5.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,4.0
1630315,643,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0
203459,2280,5.0,13.0,3.0,1.0,2.0,0.5,2.0,6.0,8.0,1.0,2.0,0.0,2.0,3.0,14.0
1630603,949,2.0,5.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,1.0,1.0,0.0,3.0,2.0,6.0
1629608,2284,9.0,15.0,0.0,5.0,8.0,0.625,3.0,6.0,9.0,6.0,3.0,3.0,2.0,5.0,25.0
1629788,2448,11.0,20.0,6.0,2.0,3.0,0.667,0.0,8.0,8.0,7.0,1.0,1.0,3.0,2.0,31.0
1628565,2286,4.0,16.0,0.0,3.0,4.0,0.75,0.0,4.0,4.0,3.0,0.0,1.0,1.0,3.0,13.0
1629051,2111,4.0,10.0,0.0,2.0,3.0,0.667,2.0,7.0,9.0,1.0,2.0,0.0,1.0,2.0,11.0
1630640,1126,1.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0
1630796,596,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1630809,320,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0
1629663,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629677,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630579,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629117,2239,9.0,18.0,2.0,0.0,2.0,0.0,1.0,11.0,12.0,6.0,1.0,5.0,3.0,5.0,20.0
1630749,1229,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,4.0
1629602,1246,3.0,7.0,0.0,0.0,3.0,0.0,2.0,2.0,4.0,0.0,1.0,2.0,1.0,5.0,6.0
1630320,1949,3.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,2.0,3.0,7.0
1629186,1612,9.0,15.0,5.0,4.0,4.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,3.0,0.0,30.0
1626296,1238,1.0,6.0,0.0,1.0,1.0,1.0,1.0,5.0,6.0,0.0,1.0,1.0,2.0,0.0,4.0
1629665,1359,2.0,11.0,1.0,0.0,1.0,0.0,2.0,4.0,6.0,4.0,0.0,0.0,1.0,1.0,5.0
1629787,1739,5.0,10.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,9.0,2.0,0.0,4.0,2.0,12.0
1629097,1790,5.0,10.0,2.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,0.0,0.0,2.0,3.0,12.0
1630572,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628412,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629623,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630723,2055,4.0,12.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,15.0
1629126,1490,6.0,12.0,1.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,3.0,3.0,3.0,13.0
204254,1341,2.0,6.0,0.0,1.0,3.0,0.333,2.0,6.0,8.0,0.0,1.0,0.0,2.0,3.0,6.0
1630271,718,0.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0
1629598,1492,4.0,13.0,1.0,2.0,3.0,0.667,2.0,3.0,5.0,3.0,0.0,0.0,6.0,0.0,12.0
204075,1682,1.0,7.0,0.0,0.0,1.0,0.0,3.0,5.0,8.0,2.0,2.0,1.0,1.0,3.0,2.0
1629061,1649,4.0,7.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,11.0
1630818,1731,5.0,16.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,6.0,2.0,0.0,1.0,1.0,12.0
1629872,1013,6.0,10.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,15.0
1628429,1229,3.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,6.0
1627756,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630679,2023,4.0,11.0,1.0,0.0,0.0,0.0,4.0,5.0,9.0,6.0,1.0,0.0,1.0,2.0,9.0
1629076,1596,10.0,14.0,0.0,1.0,4.0,0.25,3.0,7.0,10.0,6.0,2.0,0.0,5.0,3.0,21.0
1630250,1701,8.0,12.0,2.0,3.0,3.0,1.0,4.0,11.0,15.0,6.0,2.0,0.0,3.0,3.0,23.0
1629703,1774,5.0,9.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,15.0
1629653,1757,9.0,18.0,2.0,2.0,2.0,1.0,0.0,3.0,3.0,9.0,1.0,0.0,0.0,0.0,23.0
1629204,1896,5.0,12.0,2.0,3.0,5.0,0.6,2.0,8.0,10.0,1.0,1.0,0.0,1.0,5.0,19.0
1629825,1950,2.0,5.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,7.0,1.0,0.0,3.0,2.0,6.0
1630929,1703,3.0,10.0,1.0,2.0,2.0,1.0,0.0,5.0,5.0,2.0,0.0,5.0,3.0,4.0,11.0
1628576,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630187,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630715,964,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0
1630278,1795,1.0,8.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,4.0,0.0,4.0,3.0
1629674,1592,4.0,11.0,0.0,3.0,4.0,0.75,6.0,1.0,7.0,1.0,0.0,2.0,3.0,4.0,13.0
1630569,2017,10.0,18.0,1.0,3.0,3.0,1.0,2.0,3.0,5.0,8.0,3.0,0.0,3.0,5.0,26.0
1630645,1935,8.0,15.0,3.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,21.0
1629809,1444,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0
1627815,1854,7.0,13.0,4.0,4.0,4.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,2.0,26.0
