PLAYER_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION
1628366,Lonzo,Ball,2   ,1610612741,Chicago,Bulls,CHI
1630172,Patrick,Williams,44  ,1610612741,Chicago,Bulls,CHI
1630250,Marko,Simonovic,19  ,1610612741,Chicago,Bulls,CHI
1627936,Alex,Caruso,6   ,1610612741,Chicago,Bulls,CHI
1627884,Derrick,Jones Jr.,5   ,1610612741,Chicago,Bulls,CHI
1626163,Frank,Kaminsky,8   ,1610612756,Phoenix,Suns,PHX
203967,Dario,Saric,20  ,1610612756,Phoenix,Suns,PHX
1626166,Cameron,Payne,15  ,1610612756,Phoenix,Suns,PHX
1629013,Landry,Shamet,14  ,1610612756,Phoenix,Suns,PHX
1627846,Abdel,Nader,11  ,1610612756,Phoenix,Suns,PHX
