PLAYER_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION
1630551,Justin,Champagnie,11  ,1610612761,Toronto,Raptors,TOR
1627832,Fred,VanVleet,23  ,1610612761,Toronto,Raptors,TOR
201152,Thaddeus,Young,30  ,1610612761,Toronto,Raptors,TOR
1629067,Isaac,Bonga,17  ,1610612761,Toronto,Raptors,TOR
1630525,David,Johnson,13  ,1610612761,Toronto,Raptors,TOR
202322,John,Wall,1   ,1610612745,Houston,Rockets,HOU
1628464,Daniel,Theis,27  ,1610612745,Houston,Rockets,HOU
1630227,Daishen,Nix,15  ,1610612745,Houston,Rockets,HOU
201571,D.J.,Augustin,14  ,1610612745,Houston,Rockets,HOU
1630243,Trevelin,Queen,21  ,1610612745,Houston,Rockets,HOU
