PLAYER_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION
1630238,Malik,Fitts,24  ,1610612762,Utah,Jazz,UTA
203497,Rudy,Gobert,27  ,1610612762,Utah,Jazz,UTA
1630215,Jared,Butler,13  ,1610612762,Utah,Jazz,UTA
1630190,Elijah,Hughes,33  ,1610612762,Utah,Jazz,UTA
200752,Rudy,Gay,8   ,1610612762,Utah,Jazz,UTA
1628962,Udoka,Azubuike,20  ,1610612762,Utah,Jazz,UTA
204060,Joe,Ingles,2   ,1610612762,Utah,Jazz,UTA
1629626,Bol,Bol,10  ,1610612765,Detroit,Pistons,DET
1630587,Isaiah,Livers,12  ,1610612765,Detroit,Pistons,DET
1630607,Chris,Smith,0   ,1610612765,Detroit,Pistons,DET
203924,Jerami,Grant,9   ,1610612765,Detroit,Pistons,DET
1628402,Frank,Jackson,5   ,1610612765,Detroit,Pistons,DET
203482,Kelly,Olynyk,13  ,1610612765,Detroit,Pistons,DET
1630691,Jamorko,Pickett,24  ,1610612765,Detroit,Pistons,DET
