GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS
2022-01-07T00:00:00,2,2022100063,1612709917,GRG,Grand Rapids,Gold,2-0,23,29,27,31,0,0,0,0,0,0,0,0,0,0,110
2022-01-07T00:00:00,2,2022100063,1612709919,WES,Westchester,Knicks,0-2,14,32,22,28,0,0,0,0,0,0,0,0,0,0,96
