LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO
00,1610612756,PHX,Phoenix,34,7,15,16,0,0,1,11,6,10
00,1610612740,NOP,New Orleans,50,26,17,0,0,0,0,12,6,14
