GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022100188,1610612740,Pelicans,NOP,New Orleans,Starters,152.000000:01,28,56,0.5,7,18,0.389,12,13,0.923,1,21,22,23,5,3,10,13,75
0022100188,1610612740,Pelicans,NOP,New Orleans,Bench,44.000000:34,4,11,0.364,4,7,0.571,5,6,0.833,2,5,7,5,0,0,1,5,17
0022100188,1610612763,Grizzlies,MEM,Memphis,Starters,158.000000:06,28,62,0.452,7,17,0.412,15,19,0.789,11,18,29,15,5,5,6,13,78
0022100188,1610612763,Grizzlies,MEM,Memphis,Bench,38.000000:54,3,11,0.273,0,2,0.0,0,0,0.0,1,5,6,3,0,1,3,4,6
