GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022100770,1610612750,Timberwolves,MIN,Minnesota,Starters,113.000000:39,22,45,0.489,5,16,0.313,13,17,0.765,9,17,26,20,4,5,4,15,62
0022100770,1610612750,Timberwolves,MIN,Minnesota,Bench,126.000000:21,24,48,0.5,14,29,0.483,6,8,0.75,4,22,26,15,4,4,6,6,68
0022100770,1610612743,Nuggets,DEN,Denver,Starters,130.000000:42,22,47,0.468,5,18,0.278,17,20,0.85,5,24,29,16,4,0,9,7,66
0022100770,1610612743,Nuggets,DEN,Denver,Bench,109.000000:18,16,42,0.381,9,26,0.346,8,8,1.0,5,12,17,11,3,4,3,10,49
