GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022100872,1610612740,Pelicans,NOP,New Orleans,Starters,150.000000:51,31,65,0.477,3,19,0.158,14,15,0.933,6,13,19,15,3,2,8,16,79
0022100872,1610612740,Pelicans,NOP,New Orleans,Bench,71.000000:27,8,18,0.444,1,7,0.143,1,3,0.333,4,6,10,4,3,3,5,4,18
0022100872,1610612763,Grizzlies,MEM,Memphis,Starters,141.000000:13,32,63,0.508,9,25,0.36,9,14,0.643,12,17,29,20,5,1,7,15,82
0022100872,1610612763,Grizzlies,MEM,Memphis,Bench,60.000000:29,10,18,0.556,1,6,0.167,5,9,0.556,5,10,15,4,3,1,3,8,26
