GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022100019,1610612764,Wizards,WAS,Washington,Starters,151.000000:32,31,56,0.554,14,24,0.583,6,7,0.857,6,17,23,16,1,4,5,12,82
0022100019,1610612764,Wizards,WAS,Washington,Bench,113.000000:28,18,38,0.474,5,14,0.357,12,12,1.0,0,15,15,8,4,2,4,9,53
0022100019,1610612754,Pacers,IND,Indiana,Starters,195.000000:59,45,77,0.584,13,28,0.464,13,18,0.722,7,25,32,20,4,5,10,13,116
0022100019,1610612754,Pacers,IND,Indiana,Bench,57.000000:19,7,18,0.389,2,4,0.5,2,2,1.0,0,9,9,7,1,0,2,6,18
