GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022101086,1610612758,Kings,SAC,Sacramento,Starters,144.000000:14,26,48,0.542,5,20,0.25,5,6,0.833,2,16,18,12,5,2,10,7,62
0022101086,1610612758,Kings,SAC,Sacramento,Bench,95.000000:46,17,34,0.5,7,17,0.412,7,11,0.636,2,16,18,14,2,1,6,3,48
0022101086,1610612754,Pacers,IND,Indiana,Starters,168.000000:01,28,61,0.459,10,25,0.4,7,7,1.0,9,23,32,29,9,3,9,13,73
0022101086,1610612754,Pacers,IND,Indiana,Bench,65.000000:11,13,26,0.5,4,11,0.364,4,4,1.0,1,8,9,4,0,0,6,4,34
