GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022100599,1610612761,Raptors,TOR,Toronto,Starters,170.000000:35,29,71,0.408,14,31,0.452,14,15,0.933,9,18,27,16,5,0,9,14,86
0022100599,1610612761,Raptors,TOR,Toronto,Bench,69.000000:25,7,14,0.5,0,3,0.0,5,5,1.0,6,13,19,2,3,3,3,6,19
0022100599,1610612740,Pelicans,NOP,New Orleans,Starters,170.000000:16,25,57,0.439,8,25,0.32,16,19,0.842,4,23,27,16,3,2,9,12,74
0022100599,1610612740,Pelicans,NOP,New Orleans,Bench,69.000000:44,9,18,0.5,4,8,0.5,5,6,0.833,3,5,8,4,2,3,4,6,27
