GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022100963,1610612764,Wizards,WAS,Washington,Starters,124.000000:59,25,52,0.481,12,28,0.429,19,25,0.76,1,12,13,15,3,4,1,8,81
0022100963,1610612764,Wizards,WAS,Washington,Bench,98.000000:29,15,27,0.556,5,14,0.357,7,7,1.0,3,17,20,18,3,0,3,6,42
0022100963,1610612754,Pacers,IND,Indiana,Starters,146.000000:20,26,61,0.426,3,20,0.15,20,24,0.833,5,21,26,22,3,4,6,15,75
0022100963,1610612754,Pacers,IND,Indiana,Bench,86.000000:07,17,23,0.739,7,11,0.636,5,5,1.0,1,14,15,6,0,1,3,7,46
