GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022100020,1610612761,Raptors,TOR,Toronto,240.000000:00,42,100,0.42,10,35,0.286,21,21,1.0,21,39,60,22,16,2,11,13,115,32.0
0022100020,1610612738,Celtics,BOS,Boston,240.000000:00,32,82,0.39,11,34,0.324,8,11,0.727,10,32,42,19,6,12,25,19,83,-32.0
