GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2022100461,1612709915,Celtics,MNE,Maine,Starters,133.000000:31,24,50,0.48,12,27,0.444,3,5,0.6,6,23,29,14,9,2,11,12,65
2022100461,1612709915,Celtics,MNE,Maine,Bench,106.000000:29,16,37,0.432,8,24,0.333,4,8,0.5,4,16,20,19,2,4,10,10,45
2022100461,1612709910,Mad Ants,FWN,Fort Wayne,Starters,195.000000:40,37,83,0.446,7,33,0.212,11,17,0.647,7,28,35,23,12,5,13,15,99
2022100461,1612709910,Mad Ants,FWN,Fort Wayne,Bench,44.000000:20,3,9,0.333,0,0,0.0,1,1,1.0,5,7,12,3,0,0,0,4,8
