GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022100574,1610612760,OKC,Oklahoma City,1630598,Aaron Wiggins,Aaron,F,,37.000000:07,5.0,13.0,0.385,0.0,5.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,11.0,-18.0
0022100574,1610612760,OKC,Oklahoma City,1630197,Aleksej Pokusevski,Aleksej,F,,16.000000:30,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,4.0,-18.0
0022100574,1610612760,OKC,Oklahoma City,1630526,Jeremiah Robinson-Earl,Jeremiah,C,,22.000000:12,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,7.0,-19.0
0022100574,1610612760,OKC,Oklahoma City,1630581,Josh Giddey,Josh,G,,34.000000:53,6.0,11.0,0.545,2.0,4.0,0.5,0.0,0.0,0.0,4.0,11.0,15.0,6.0,1.0,0.0,6.0,2.0,14.0,-11.0
0022100574,1610612760,OKC,Oklahoma City,1628983,Shai Gilgeous-Alexander,Shai,G,,37.000000:30,5.0,15.0,0.333,2.0,6.0,0.333,7.0,7.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,4.0,4.0,19.0,-18.0
0022100574,1610612760,OKC,Oklahoma City,1629026,Kenrich Williams,Kenrich,,,25.000000:09,5.0,10.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,9.0,2.0,4.0,0.0,1.0,1.0,10.0,10.0
0022100574,1610612760,OKC,Oklahoma City,1630544,Tre Mann,Tre,,,17.000000:34,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0
0022100574,1610612760,OKC,Oklahoma City,1629647,Darius Bazley,Darius,,,24.000000:07,3.0,12.0,0.25,0.0,4.0,0.0,4.0,6.0,0.667,3.0,4.0,7.0,1.0,1.0,1.0,2.0,2.0,10.0,15.0
0022100574,1610612760,OKC,Oklahoma City,203488,Mike Muscala,Mike,,,15.000000:35,3.0,11.0,0.273,2.0,6.0,0.333,1.0,1.0,1.0,0.0,4.0,4.0,1.0,2.0,3.0,0.0,2.0,9.0,5.0
0022100574,1610612760,OKC,Oklahoma City,1629660,Ty Jerome,Ty,,,9.000000:23,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,3.0,12.0
0022100574,1610612760,OKC,Oklahoma City,202324,Derrick Favors,Derrick,,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0022100574,1610612760,OKC,Oklahoma City,1630177,Theo Maledon,Theo,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022100574,1610612760,OKC,Oklahoma City,1628778,Paul Watson,Paul,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022100574,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,F,,32.000000:25,8.0,17.0,0.471,4.0,10.0,0.4,2.0,3.0,0.667,2.0,3.0,5.0,2.0,5.0,0.0,2.0,3.0,22.0,20.0
0022100574,1610612750,MIN,Minnesota,1629020,Jarred Vanderbilt,Jarred,F,,30.000000:05,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,3.0,10.0,13.0,3.0,1.0,1.0,1.0,2.0,5.0,21.0
0022100574,1610612750,MIN,Minnesota,1626157,Karl-Anthony Towns,Karl-Anthony,C,,36.000000:56,6.0,14.0,0.429,1.0,4.0,0.25,4.0,5.0,0.8,6.0,10.0,16.0,3.0,1.0,2.0,6.0,6.0,17.0,16.0
0022100574,1610612750,MIN,Minnesota,1626156,D'Angelo Russell,D'Angelo,G,,30.000000:13,3.0,12.0,0.25,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,3.0,0.0,6.0,1.0
0022100574,1610612750,MIN,Minnesota,201976,Patrick Beverley,Patrick,G,,26.000000:06,6.0,11.0,0.545,5.0,9.0,0.556,3.0,4.0,0.75,1.0,3.0,4.0,6.0,1.0,1.0,1.0,3.0,20.0,19.0
0022100574,1610612750,MIN,Minnesota,1627736,Malik Beasley,Malik,,,18.000000:18,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,-2.0
0022100574,1610612750,MIN,Minnesota,1629669,Jaylen Nowell,Jaylen,,,23.000000:00,6.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,16.0,-5.0
0022100574,1610612750,MIN,Minnesota,1629675,Naz Reid,Naz,,,11.000000:04,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,-8.0
0022100574,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,,,21.000000:24,5.0,12.0,0.417,1.0,4.0,0.25,0.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,-14.0
0022100574,1610612750,MIN,Minnesota,1627752,Taurean Prince,Taurean,,,10.000000:29,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-8.0
0022100574,1610612750,MIN,Minnesota,1630195,Leandro Bolmaro,Leandro,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
