GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022101016,1610612754,Pacers,IND,Indiana,Starters,161.000000:08,33,60,0.55,10,20,0.5,17,22,0.773,11,18,29,17,4,2,11,15,93
0022101016,1610612754,Pacers,IND,Indiana,Bench,78.000000:52,13,29,0.448,5,15,0.333,4,4,1.0,4,10,14,6,3,2,4,6,35
0022101016,1610612737,Hawks,ATL,Atlanta,Starters,156.000000:22,34,56,0.607,15,26,0.577,18,18,1.0,2,16,18,16,7,1,9,17,101
0022101016,1610612737,Hawks,ATL,Atlanta,Bench,83.000000:38,12,28,0.429,2,12,0.167,4,6,0.667,7,11,18,11,2,2,2,4,30
