GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022100185,1610612762,Jazz,UTA,Utah,Starters,162.000000:10,26,59,0.441,12,33,0.364,11,14,0.786,9,19,28,18,10,2,9,11,75
0022100185,1610612762,Jazz,UTA,Utah,Bench,64.000000:55,9,25,0.36,5,20,0.25,7,9,0.778,1,4,5,5,2,0,7,5,30
0022100185,1610612748,Heat,MIA,Miami,Starters,176.000000:30,35,68,0.515,12,27,0.444,14,14,1.0,8,28,36,20,5,1,15,18,96
0022100185,1610612748,Heat,MIA,Miami,Bench,63.000000:30,7,17,0.412,1,6,0.167,0,2,0.0,5,7,12,3,1,2,4,7,15
