GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022100692,1610612763,MEM,Memphis,1630533,Ziaire Williams,Ziaire,F,,30.000000:55,6.0,8.0,0.75,2.0,3.0,0.667,3.0,4.0,0.75,1.0,4.0,5.0,0.0,2.0,1.0,0.0,4.0,17.0,8.0
0022100692,1610612763,MEM,Memphis,1628991,Jaren Jackson Jr.,Jaren,F,,28.000000:20,8.0,17.0,0.471,2.0,4.0,0.5,2.0,6.0,0.333,1.0,4.0,5.0,1.0,0.0,4.0,2.0,4.0,20.0,-9.0
0022100692,1610612763,MEM,Memphis,203500,Steven Adams,Steven,C,,34.000000:25,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,6.0,3.0,4.0,0.0,2.0,2.0,4.0,4.0
0022100692,1610612763,MEM,Memphis,1629723,John Konchar,John,G,,32.000000:40,2.0,6.0,0.333,1.0,3.0,0.333,3.0,4.0,0.75,0.0,5.0,5.0,1.0,0.0,2.0,1.0,1.0,8.0,-1.0
0022100692,1610612763,MEM,Memphis,1629630,Ja Morant,Ja,G,,37.000000:26,15.0,26.0,0.577,2.0,6.0,0.333,6.0,8.0,0.75,3.0,3.0,6.0,6.0,2.0,0.0,6.0,1.0,38.0,-3.0
0022100692,1610612763,MEM,Memphis,1629001,De'Anthony Melton,De'Anthony,,,27.000000:11,6.0,13.0,0.462,2.0,7.0,0.286,7.0,11.0,0.636,0.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0,21.0,1.0
0022100692,1610612763,MEM,Memphis,1629634,Brandon Clarke,Brandon,,,22.000000:19,2.0,4.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,3.0,2.0,5.0,1.0,0.0,3.0,1.0,4.0,6.0,16.0
0022100692,1610612763,MEM,Memphis,1629633,Jarrett Culver,Jarrett,,,16.000000:21,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,3.0,5.0,6.0,8.0
0022100692,1610612763,MEM,Memphis,1630214,Xavier Tillman,Xavier,,,10.000000:23,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,-4.0
0022100692,1610612763,MEM,Memphis,1630583,Santi Aldama,Santi,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
