GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022100334,1610612764,Wizards,WAS,Washington,Starters,119.000000:21,16,44,0.364,3,16,0.188,4,6,0.667,1,16,17,11,2,2,5,10,39
0022100334,1610612764,Wizards,WAS,Washington,Bench,99.000000:07,16,29,0.552,6,13,0.462,11,13,0.846,1,13,14,6,2,2,3,11,49
0022100334,1610612739,Cavaliers,CLE,Cleveland,Starters,172.000000:11,33,64,0.516,10,21,0.476,13,16,0.813,10,28,38,20,2,5,12,14,89
0022100334,1610612739,Cavaliers,CLE,Cleveland,Bench,55.000000:01,8,22,0.364,3,9,0.333,4,5,0.8,4,10,14,9,0,0,1,3,23
