GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022101206,1610612761,Raptors,TOR,Toronto,Starters,153.000000:31,32,68,0.471,5,16,0.313,12,13,0.923,10,15,25,14,9,2,5,12,81
0022101206,1610612761,Raptors,TOR,Toronto,Bench,86.000000:29,12,28,0.429,2,13,0.154,10,10,1.0,3,13,16,6,4,2,4,6,36
0022101206,1610612745,Rockets,HOU,Houston,Starters,160.000000:08,29,59,0.492,7,20,0.35,16,21,0.762,5,24,29,15,3,1,12,10,81
0022101206,1610612745,Rockets,HOU,Houston,Bench,79.000000:52,14,22,0.636,3,9,0.333,3,3,1.0,2,10,12,9,3,2,6,9,34
