GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022100892,1610612750,Timberwolves,MIN,Minnesota,Starters,154.000000:08,30,68,0.441,9,25,0.36,15,23,0.652,9,23,32,23,5,5,9,15,84
0022100892,1610612750,Timberwolves,MIN,Minnesota,Bench,85.000000:52,13,25,0.52,7,17,0.412,2,2,1.0,3,7,10,3,1,6,3,12,35
0022100892,1610612763,Grizzlies,MEM,Memphis,Starters,150.000000:17,27,72,0.375,5,20,0.25,23,30,0.767,18,20,38,11,6,5,10,17,82
0022100892,1610612763,Grizzlies,MEM,Memphis,Bench,54.000000:10,7,14,0.5,2,5,0.4,2,6,0.333,8,6,14,7,2,2,1,2,18
