GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022100913,1610612762,Jazz,UTA,Utah,Starters,148.000000:56,26,63,0.413,12,28,0.429,11,16,0.688,8,12,20,13,4,4,6,6,75
0022100913,1610612762,Jazz,UTA,Utah,Bench,60.000000:00,14,26,0.538,5,12,0.417,0,0,0.0,3,8,11,6,2,1,2,7,33
0022100913,1610612756,Suns,PHX,Phoenix,Starters,181.000000:45,40,67,0.597,13,24,0.542,10,12,0.833,6,19,25,19,6,2,6,15,103
0022100913,1610612756,Suns,PHX,Phoenix,Bench,58.000000:16,4,19,0.211,0,4,0.0,3,4,0.75,4,7,11,5,1,3,3,4,11
