GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,STARTERS_BENCH,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0022101165,1610612762,Jazz,UTA,Utah,Starters,167.000000:25,29,66,0.439,11,33,0.333,14,20,0.7,8,29,37,16,7,0,9,13,83
0022101165,1610612762,Jazz,UTA,Utah,Bench,62.000000:07,8,21,0.381,4,13,0.308,2,2,1.0,3,5,8,3,1,1,3,4,22
0022101165,1610612744,Warriors,GSW,Golden State,Starters,155.000000:40,34,66,0.515,17,36,0.472,11,12,0.917,3,21,24,20,2,3,11,16,96
0022101165,1610612744,Warriors,GSW,Golden State,Bench,84.000000:21,6,18,0.333,3,12,0.25,0,0,0.0,3,14,17,10,3,3,0,6,15
