GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0012000001,340,6,2,2,8:04 PM,0:28,,,Vucevic S.FOUL (P2.PN) (J.Schroeder),,,5,202696,Nikola Vucevic,1610612753.0,Orlando,Magic,ORL,4,1628381,John Collins,1610612737.0,Atlanta,Hawks,ATL,1,0,,,,,,1
0012000001,342,8,0,2,8:04 PM,0:28,SUB: S. Hill FOR Huerter,,,,,4,1628989,Kevin Huerter,1610612737.0,Atlanta,Hawks,ATL,4,203524,Solomon Hill,1610612737.0,Atlanta,Hawks,ATL,0,0,,,,,,0
0012000001,343,8,0,2,8:04 PM,0:28,SUB: Hunter FOR Gallinari,,,,,4,201568,Danilo Gallinari,1610612737.0,Atlanta,Hawks,ATL,4,1629631,De'Andre Hunter,1610612737.0,Atlanta,Hawks,ATL,0,0,,,,,,0
0012000001,346,3,10,2,8:04 PM,0:28,MISS Collins Free Throw 1 of 1,,,,,4,1628381,John Collins,1610612737.0,Atlanta,Hawks,ATL,0,0,,,,,,0,0,,,,,,1
0012000001,347,4,0,2,8:04 PM,0:25,,,Vucevic REBOUND (Off:1 Def:9),,,5,202696,Nikola Vucevic,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,,1
0012000001,382,5,1,2,8:05 PM,0:08,Collins STEAL (1 STL),,Fultz Bad Pass Turnover (P2.T8),,,5,1628365,Markelle Fultz,1610612753.0,Orlando,Magic,ORL,4,1628381,John Collins,1610612737.0,Atlanta,Hawks,ATL,0,0,,,,,,1
0012000001,350,5,45,2,8:05 PM,0:02,Reddish Out of Bounds - Bad Pass Turnover Turnover (P3.T10),,,,,4,1629629,Cam Reddish,1610612737.0,Atlanta,Hawks,ATL,0,0,,,,,,1,0,,,,,,1
0012000001,351,2,1,2,8:05 PM,0:00,,,MISS Vucevic 39' 3PT Jump Shot,,,5,202696,Nikola Vucevic,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,,1
0012000001,352,4,0,2,8:05 PM,0:00,,,Magic Rebound,,,3,1610612753,,,,,,0,0,,,,,,0,0,,,,,,0
0012000001,353,13,0,2,8:05 PM,0:00,,End of 2nd Period (8:05 PM EST),,52 - 52,TIE,0,0,,,,,,0,0,,,,,,0,0,,,,,,1
0012000001,365,12,0,3,8:22 PM,12:00,,Start of 3rd Period (8:22 PM EST),,52 - 52,TIE,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
0012000001,366,6,2,3,8:22 PM,11:49,Collins S.FOUL (P4.T1) (K.Scott),,,,,4,1628381,John Collins,1610612737.0,Atlanta,Hawks,ATL,5,1629109,Gary Clark,1610612753.0,Orlando,Magic,ORL,1,0,,,,,,1
